fullVisitorId,productSKU,productName,quantity,totalValue,consecutiveWeeksCount,lastWeek
009940587374167418,GGOENEBB081499,Nest® Cam Indoor Security Camera - CA,1,149000000,1,2017-05-18
0134543573456503980,GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,1,19990000,1,2016-11-03
0134543573456503980,GGOEGEVR014999,Google Water Resistant Bluetooth Speaker,1,27990000,1,2016-11-03
0134543573456503980,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,1,1590000,1,2016-11-03
0220950878922124751,GGOEAOCH014199,Android Journal Book Set,4,35960000,1,2016-10-24
0399898640502614509,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-18
040111204275139283,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,2,238000000,1,2016-11-29
0412219395222494542,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-10
0412717133781136097,GGOENEBB081499,Nest® Cam Indoor Security Camera - CA,1,149000000,1,2017-01-03
0445232572942957923,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2017-02-14
0481361866832333678,GGOEGOAQ018099,Pen Pencil & Highlighter Set,3,11970000,1,2016-08-15
0544022299940204495,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2016-11-25
0561666321092442666,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-03
0656598069187326771,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2016-11-23
0656598069187326771,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,2,158000000,1,2016-11-23
0669174691212779276,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-04-24
067516997967648879,GGOEGAEJ029913,Google Women's V-Neck Tee Charcoal,1,15190000,1,2016-09-06
069473251386882537,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,3,447000000,1,2016-12-12
069473251386882537,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,3,237000000,1,2016-12-12
0700526697601617367,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2016-12-15
0700526697601617367,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-15
0710632165228073636,GGOEGOLC014299,Google Metallic Notebook Set,200,1198000000,1,2017-06-12
0720258614729205103,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-24
0770284175204871841,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-20
0777922178356486144,GGOEGCKQ013199,1 oz Hand Sanitizer,1,1590000,1,2016-08-09
0777922178356486144,GGOEGKAA019299,Pop-a-Point Crayon,1,1590000,1,2016-08-09
0777922178356486144,GGOEGOAB021499,Metal Texture Roller Pen,1,23190000,1,2016-08-09
0777922178356486144,GGOEGOAQ018099,Pen Pencil & Highlighter Set,1,3190000,1,2016-08-09
0790076231044119145,GGOEAAAJ032416,Android Men's Short Sleeve Tri-blend Hero Tee Grey,1,18990000,1,2016-09-07
0790076231044119145,GGOEADWQ015699,Android Rise 14 oz Mug,1,12990000,1,2016-09-07
0799674371712309630,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2017-02-28
0807420467818204727,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2016-12-21
0858059046468321718,GGOEGAFB035813,Google Men's  Zip Hoodie,1,55990000,1,2017-05-24
0894441452857839509,GGOEGBFC018799,Electronics Accessory Pouch,20,79800000,1,2016-11-21
0894441452857839509,GGOEGOAR013099,Google Stylus Pen w/ LED Light,40,176000000,1,2016-11-21
0894441452857839509,GGOEGOCB017499,Leatherette Journal,30,263700000,1,2016-11-21
0926892398055293807,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-05-22
0933869536965575613,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-02-01
0941726438399473483,GGOEGFYQ016599,Foam Can and Bottle Cooler,50,79500000,1,2017-06-06
0956192360029834252,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-10
0956192360029834252,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,2,158000000,1,2017-01-10
0962178629854706857,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-19
1006586895176730194,GGOEGHGC019799,Google Sunglasses,2,5600000,1,2017-04-04
1006586895176730194,GGOEGHGH019699,Google Sunglasses,2,5600000,1,2017-04-04
1023615951662839630,GGOEGKWQ060910,Google Bib White,1,9590000,1,2016-09-21
1032164895567877445,GGOENEBQ079099,Nest® Protect Smoke + CO White Battery Alarm-USA,5,395000000,1,2016-12-03
1032164895567877445,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,3,237000000,1,2016-12-03
1036690457275487671,GGOEGOBC078699,Google Luggage Tag,1,8990000,1,2017-04-26
1139304862257364269,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-03
1155174880409639108,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-02-02
1160204963389257110,GGOEGAAJ032615,Google Men's Short Sleeve Badge Tee Charcoal,1,15190000,1,2017-06-27
1190180893648391461,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2017-07-11
1293859889635603442,GGOEGBMJ013399,Sport Bag,3,11970000,1,2017-03-11
1293859889635603442,GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,1,15190000,1,2017-03-11
1293859889635603442,GGOEGDHJ023099,Insulated Bottle,1,17590000,1,2017-03-11
1308843236768324191,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,1,79000000,1,2016-11-09
1322920577212968147,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2017-06-24
1413300845517352724,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-21
1437703405675890826,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-06-04
1439206441625639697,GGOEGDWC020199,Engraved Ceramic Google Mug,1,7190000,1,2016-12-19
1439206441625639697,GGOEGDWR015799,Red Shine 15 oz Mug,1,10390000,1,2016-12-19
1459632146780040388,GGOENEBQ079099,Nest® Protect Smoke + CO White Battery Alarm-USA,1,79000000,1,2016-11-16
155711517942843047,GGOEGDHG082499,Google 25 oz Clear Stainless Steel Bottle,60,671400000,1,2017-01-09
155711517942843047,GGOEGOLC014299,Google Metallic Notebook Set,60,287400000,1,2017-01-09
1596912606849218999,GGOEGHGC019799,Google Sunglasses,1,3500000,1,2017-01-17
1623083926314272247,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-13
1708063999877429517,GGOEAKDH019899,Windup Android,5,15950000,1,2017-04-20
1708063999877429517,GGOEGOAR021999,Color Changing Grip Pen,25,30000000,1,2017-04-20
1817256435818850257,GGOEGHGT019599,Google Sunglasses,1,3500000,1,2016-08-09
1827763305655925232,GGOEGAAQ010416,Google Men's 100% Cotton Short Sleeve Hero Tee White,2,27180000,1,2016-12-19
1827763305655925232,GGOEGDHC018299,Google 22 oz Water Bottle,5,11950000,1,2016-12-19
1827763305655925232,GGOEGFSR022099,Google Kick Ball,10,15900000,1,2016-12-19
1827763305655925232,GGOEGHPA002910,Google Trucker Hat,2,35180000,1,2016-12-19
1847894628601017844,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-24
1867667711905425727,GGOENEBQ079099,Nest® Protect Smoke + CO White Battery Alarm-USA,1,79000000,1,2017-01-20
1956307607572137989,GGOEGAAL010616,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,2,33980000,1,2016-11-17
1956307607572137989,GGOEGAAQ010416,Google Men's 100% Cotton Short Sleeve Hero Tee White,3,50970000,1,2016-11-17
1956307607572137989,GGOEGOAB015899,Rainbow Stylus Pen,25,37500000,1,2016-11-17
1956307607572137989,GGOEGOAB021699,Google Ballpoint Pen Black,25,49750000,1,2016-11-17
1956307607572137989,GGOEGODR017799,Recycled Mouse Pad,10,15000000,1,2016-11-17
1956307607572137989,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,25,49750000,1,2016-11-17
1957458976293878100,GGOEGDHC018299,Google 22 oz Water Bottle,145,433550000,2,2017-06-08
1957458976293878100,GGOEGOCC017599,Recycled Paper Journal Set,27,107730000,1,2017-06-01
1957458976293878100,GGOEGOCR017899,Recycled Paper Journal Set,34,135660000,2,2017-06-08
1996391120328374749,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,3,447000000,2,2016-12-04
2028470833060802732,GGOEGAEJ030813,Google Women's Long Sleeve Blended Cardigan Charcoal,1,16790000,1,2017-07-28
2095275332162500073,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-03-18
213465488216513322,GGOEGFSR022099,Google Kick Ball,20,39800000,1,2016-10-26
213465488216513322,GGOEGGOA017399,Maze Pen,100,99000000,1,2016-10-26
213465488216513322,GGOEGODR017799,Recycled Mouse Pad,15,22500000,1,2016-10-26
213465488216513322,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,20,39800000,1,2016-10-31
2203276140288644694,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-31
2284043957646651909,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-04-02
2284043957646651909,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,1,79000000,1,2017-04-02
2336419305699143492,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2016-12-06
2402527199731150932,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,30,47700000,1,2017-02-06
2402527199731150932,GGOEGOCC017599,Recycled Paper Journal Set,45,143550000,2,2017-02-06
2402527199731150932,GGOEGOCR017899,Recycled Paper Journal Set,45,143550000,2,2017-02-06
2446685875964479851,GGOEGFSR022099,Google Kick Ball,50,99500000,1,2016-11-30
2446685875964479851,GGOEGGOA017399,Maze Pen,155,153450000,1,2016-11-30
2446685875964479851,GGOEGOAC021799,Ballpoint Pen Blue,50,49500000,1,2016-11-30
2446685875964479851,GGOEGOAR021899,Retractable Ballpoint Pen Red,50,62500000,1,2016-11-30
2446685875964479851,GGOEGOAR021999,Color Changing Grip Pen,50,75000000,1,2016-11-30
2469314952697250520,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-15
2503835955867411323,GGOENEBQ079099,Nest® Protect Smoke + CO White Battery Alarm-USA,3,237000000,1,2017-06-19
257355025676247753,GGOENEBQ081599,Nest® Cam Outdoor Security Camera - CA,1,149000000,1,2017-05-29
2589503145622443872,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-06-18
2594898159442644301,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2016-12-15
2615132191795573329,GGOEADHH082399,Android 25 oz Green Apple Stainless Steel Bottle,4,44760000,1,2017-01-09
2615132191795573329,GGOEAKDH019899,Windup Android,14,44660000,1,2017-01-09
2615132191795573329,GGOEGDHC082299,Google 25 oz Blue Stainless Steel Bottle,4,44760000,1,2017-01-09
2615132191795573329,GGOEGDHG082499,Google 25 oz Clear Stainless Steel Bottle,2,22380000,1,2017-01-09
2615132191795573329,GGOEGDHR082199,Google 25 oz Red Stainless Steel Bottle,4,44760000,1,2017-01-09
2615132191795573329,GGOEGOGA016299,Grip Highlighter Pen 3 Pack,5,19950000,1,2017-01-09
2621801494335906082,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-03-25
2623091405818391862,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-03-07
2627508925809214754,GGOEGDWC020199,Engraved Ceramic Google Mug,1,7190000,1,2016-12-22
2630626637929580327,GGOEGCKQ013199,1 oz Hand Sanitizer,5,9950000,1,2016-11-05
2645531348518887881,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-04
2650701486940953530,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-24
2798860563152258978,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,1,149000000,1,2017-07-16
2841770414885056568,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-11-12
2842342609640358960,GGOEGBRJ037299,Google Alpine Style Backpack,1,79990000,1,2016-08-17
2854722262909538790,GGOEADHH055999,22 oz Android Bottle,3,8970000,1,2016-09-22
2854722262909538790,GGOEGBJR018199,Reusable Shopping Bag,2,7000000,1,2016-09-22
2854722262909538790,GGOEGGOA017399,Maze Pen,6,5940000,1,2016-09-22
2854722262909538790,GGOEGPJC019099,7&quot; Dog Frisbee,2,3000000,1,2016-09-22
2854722262909538790,GGOEGPJR018999,7&quot; Dog Frisbee,2,3000000,1,2016-09-22
286654623670344739,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,2,238000000,1,2016-12-26
2877163320289996955,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,2,158000000,1,2017-06-17
2919716928934208535,GGOEGAXC065228,Google Toddler Short Sleeve T-shirt Royal Blue,1,13590000,1,2017-06-20
2919716928934208535,GGOEGAXQ067129,Google Toddler Short Sleeve Tee White,1,13590000,1,2017-06-20
2919716928934208535,GGOEGAXR065128,Google Toddler Short Sleeve Tee Red,1,13590000,1,2017-06-20
2919716928934208535,GGOEGAXR066055,Google Toddler Sports T-shirt Red,1,15190000,1,2017-06-20
2919716928934208535,GGOEGAYH067956,Google Youth Girl Tee Green,1,15190000,1,2017-06-20
2919716928934208535,GGOEGAYQ069056,Google Youth Short Sleeve Tee White,1,15190000,1,2017-06-20
2919716928934208535,GGOEGAYT068524,Google Youth Short Sleeve T-shirt Yellow,1,10630000,1,2017-06-20
2919716928934208535,GGOEYAXR066129,You Tube Toddler Short Sleeve Tee Red,1,13590000,1,2017-06-20
2919716928934208535,GGOEYAYR068624,YouTube Youth Short Sleeve Tee Red,1,15190000,1,2017-06-20
2936634930290678437,GGOEGHPA003010,Google Wool Heather Cap Heather/Navy,1,19990000,1,2017-03-18
2942212781099976151,GGOEADWQ015699,Android Rise 14 oz Mug,2,20780000,1,2016-12-19
2943823964858071574,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2016-11-12
2963915564048659940,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-01-12
3033366073043100694,GGOEGCKQ013199,1 oz Hand Sanitizer,1,1990000,1,2016-09-22
30596413607230095,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-02-06
3088812760641264921,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-07-24
3088812760641264921,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,3,447000000,1,2017-07-24
3088812760641264921,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-07-24
3244885836845029978,GGOEGDHC018299,Google 22 oz Water Bottle,200,478000000,1,2016-09-06
3271602591909428154,GGOEGAPB057813,Women's Performance Full Zip Jacket Black,1,95990000,1,2016-12-16
3287424336851494398,GGOEGAEJ030714,Google Men's 3/4 Sleeve Raglan Henley Grey,1,19990000,1,2017-03-27
3287424336851494398,GGOEGAEJ030716,Google Men's 3/4 Sleeve Raglan Henley Grey,1,19990000,1,2017-03-27
3296845514856857393,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,2,238000000,1,2016-12-04
3296845514856857393,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-04
3453178386574911024,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-20
3534570005343502837,GGOEGFKA022299,Keyboard DOT Sticker,1,1200000,1,2017-04-18
353609143873862442,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-06-19
3765491629047320813,GGOEYAAJ032515,YouTube Men's Short Sleeve Hero Tee Charcoal,1,18990000,1,2017-01-23
3850630971135697760,GGOEADHJ015599,Android 24 oz Contigo Bottle,1,13430000,1,2017-04-21
3857043812510146001,GGOEGGOA017399,Maze Pen,20,19800000,1,2017-06-22
3857043812510146001,GGOEGOCR017899,Recycled Paper Journal Set,20,79800000,1,2017-06-22
3900890938241700062,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-24
392545984607168790,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-09
3976777755892990824,GGOEGESC014699,Aluminum Handy Emergency Flashlight,8,108720000,1,2016-11-18
4099563378915658167,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-01-12
4116206238605404224,GGOEGBJL013999,Google Canvas Tote Natural/Navy,1,12790000,1,2017-05-17
4140559214164857738,GGOEADWQ015699,Android Rise 14 oz Mug,1,12990000,1,2017-06-13
4140559214164857738,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,1,2990000,1,2017-06-13
4140559214164857738,GGOEGBJC019999,Collapsible Shopping Bag,2,9980000,1,2017-06-13
4140559214164857738,GGOEGFYQ016599,Foam Can and Bottle Cooler,2,3980000,1,2017-06-13
4140559214164857738,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,1,7990000,1,2017-06-13
4140559214164857738,GGOEYOLR018699,YouTube Leatherette Notebook Combo,2,13980000,1,2017-06-13
4184243546859137361,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-07-30
4191654871684266030,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2017-01-01
4242172639873299272,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-03
4278586548289840402,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,1,79000000,1,2017-06-20
428994201200499894,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,70,559300000,1,2016-09-07
428994201200499894,GGOEYFKQ020699,YouTube Custom Decals,70,139300000,1,2016-09-07
428994201200499894,GGOEYOLR018699,YouTube Leatherette Notebook Combo,70,489300000,1,2016-09-07
431995905654252999,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-06-02
4432170800264031771,GGOEGBJC019999,Collapsible Shopping Bag,2,7980000,1,2017-03-30
4432170800264031771,GGOEGDHR082199,Google 25 oz Red Stainless Steel Bottle,2,22380000,1,2017-03-30
4478485114168698618,GGOEGAQB036014,Google Women's Fleece Hoodie,1,44790000,1,2016-10-06
4478485114168698618,GGOEGCGB022199,Fashion Sunglasses & Pouch,1,3600000,1,2016-10-06
4520187872787640137,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,2,158000000,1,2017-06-16
4542569730574642980,GGOEAAAJ032915,Android Men's Long & Lean Badge Tee Charcoal,6,36000000,1,2017-07-29
4542569730574642980,GGOEGAEJ028013,Google Women's Short Sleeve Hero Tee Grey,7,35700000,1,2017-07-29
4542569730574642980,GGOEGAEJ028014,Google Women's Short Sleeve Hero Tee Grey,13,66300000,1,2017-07-29
4544717530086880148,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,4,476000000,1,2017-06-22
4599293151185767579,GGOEGADB059613,Google Men's Quilted Insulated Vest Black,1,59990000,1,2017-01-05
4599293151185767579,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,1,1590000,1,2017-01-05
4609004095369993884,GGOEAKDH019899,Windup Android,3,9570000,1,2016-12-19
4656013451214852982,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-19
467225047274698461,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-02-05
4835082938415020542,GGOEGHPA002910,Google Trucker Hat,1,21990000,1,2016-10-27
4835082938415020542,GGOEGOAB015899,Rainbow Stylus Pen,50,75000000,1,2016-10-27
4835082938415020542,GGOEGOAR021999,Color Changing Grip Pen,30,45000000,1,2016-10-27
4835082938415020542,GGOEGODR017799,Recycled Mouse Pad,20,30000000,1,2016-10-27
4835082938415020542,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,25,49750000,1,2016-10-27
4851838287757329437,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-15
4895589108517804020,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-01-03
4922504438782099202,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,1,149000000,1,2017-07-16
4924742829648731109,GGOEGAEJ033316,Google Men's Long Sleeve Pullover Badge Tee Heather,1,27990000,1,2016-12-28
4984366501121503466,GGOEGBJR018199,Reusable Shopping Bag,16,56000000,1,2016-12-14
4984366501121503466,GGOEGOAC021799,Ballpoint Pen Blue,100,99000000,1,2016-10-18
5036056884206014457,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2016-12-20
5099484252106710427,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-02-02
